,Date,variable,value
176,7/5/2009,12:00 AM,16
177,7/6/2009,12:00 AM,15
178,7/7/2009,12:00 AM,14
179,7/8/2009,12:00 AM,24
180,7/9/2009,12:00 AM,17
181,7/10/2009,12:00 AM,16
182,7/11/2009,12:00 AM,21
183,7/12/2009,12:00 AM,23
184,7/13/2009,12:00 AM,21
185,7/14/2009,12:00 AM,21
186,7/15/2009,12:00 AM,19
187,7/16/2009,12:00 AM,22
188,7/17/2009,12:00 AM,32
189,7/18/2009,12:00 AM,23
190,7/19/2009,12:00 AM,20
191,7/20/2009,12:00 AM,17
192,7/21/2009,12:00 AM,18
193,7/22/2009,12:00 AM,21
194,7/23/2009,12:00 AM,19
195,7/24/2009,12:00 AM,26
196,7/25/2009,12:00 AM,25
197,7/26/2009,12:00 AM,19
198,7/27/2009,12:00 AM,20
199,7/28/2009,12:00 AM,21
200,7/29/2009,12:00 AM,33
201,7/30/2009,12:00 AM,28
202,7/31/2009,12:00 AM,29
203,8/1/2009,12:00 AM,25
204,8/2/2009,12:00 AM,27
205,8/3/2009,12:00 AM,18
206,8/4/2009,12:00 AM,24
207,8/5/2009,12:00 AM,28
208,8/6/2009,12:00 AM,26
209,8/7/2009,12:00 AM,21
210,8/8/2009,12:00 AM,22
211,8/9/2009,12:00 AM,30
212,8/10/2009,12:00 AM,23
213,8/11/2009,12:00 AM,29
214,8/12/2009,12:00 AM,28
215,8/13/2009,12:00 AM,26
216,8/14/2009,12:00 AM,22
217,8/15/2009,12:00 AM,21
218,8/16/2009,12:00 AM,22
219,8/17/2009,12:00 AM,18
220,8/18/2009,12:00 AM,18
221,8/19/2009,12:00 AM,22
222,8/20/2009,12:00 AM,25
223,8/21/2009,12:00 AM,22
224,8/22/2009,12:00 AM,20
225,8/23/2009,12:00 AM,18
226,8/24/2009,12:00 AM,20
227,8/25/2009,12:00 AM,17
228,8/26/2009,12:00 AM,17
229,8/27/2009,12:00 AM,21
230,8/28/2009,12:00 AM,21
231,8/29/2009,12:00 AM,24
232,8/30/2009,12:00 AM,17
233,8/31/2009,12:00 AM,17
234,9/1/2009,12:00 AM,12
235,9/2/2009,12:00 AM,13
236,9/3/2009,12:00 AM,13
237,9/4/2009,12:00 AM,13
238,9/5/2009,12:00 AM,13
239,9/6/2009,12:00 AM,14
240,9/7/2009,12:00 AM,16
241,9/8/2009,12:00 AM,13
242,9/9/2009,12:00 AM,13
243,9/10/2009,12:00 AM,13
244,9/11/2009,12:00 AM,12
245,9/12/2009,12:00 AM,12
246,9/13/2009,12:00 AM,12
247,9/14/2009,12:00 AM,12
248,9/15/2009,12:00 AM,14
249,9/16/2009,12:00 AM,16
250,9/17/2009,12:00 AM,14
251,9/18/2009,12:00 AM,13
252,9/19/2009,12:00 AM,13
253,9/20/2009,12:00 AM,12
254,9/21/2009,12:00 AM,12
255,9/22/2009,12:00 AM,15
256,9/23/2009,12:00 AM,14
257,9/24/2009,12:00 AM,16
258,9/25/2009,12:00 AM,16
259,9/26/2009,12:00 AM,13
260,9/27/2009,12:00 AM,12
261,9/28/2009,12:00 AM,12
262,9/29/2009,12:00 AM,12
263,9/30/2009,12:00 AM,14
264,10/1/2009,12:00 AM,13
265,10/2/2009,12:00 AM,13
266,10/3/2009,12:00 AM,15
267,10/4/2009,12:00 AM,14
268,10/5/2009,12:00 AM,13
269,10/6/2009,12:00 AM,13
270,10/7/2009,12:00 AM,12
271,10/8/2009,12:00 AM,12
272,10/9/2009,12:00 AM,11
273,10/10/2009,12:00 AM,13
274,10/11/2009,12:00 AM,10
275,10/12/2009,12:00 AM,11
276,10/13/2009,12:00 AM,19
277,10/14/2009,12:00 AM,11
278,10/15/2009,12:00 AM,10
279,10/16/2009,12:00 AM,11
280,10/17/2009,12:00 AM,10
281,10/18/2009,12:00 AM,9
282,10/19/2009,12:00 AM,10
283,10/20/2009,12:00 AM,10
284,10/21/2009,12:00 AM,11
285,10/22/2009,12:00 AM,10
286,10/23/2009,12:00 AM,10
287,10/24/2009,12:00 AM,11
288,10/25/2009,12:00 AM,10
289,10/26/2009,12:00 AM,9
290,10/27/2009,12:00 AM,10
291,10/28/2009,12:00 AM,10
292,10/29/2009,12:00 AM,10
293,10/30/2009,12:00 AM,11
294,10/31/2009,12:00 AM,11
295,11/1/2009,12:00 AM,10
296,11/2/2009,12:00 AM,10
297,11/3/2009,12:00 AM,11
298,11/4/2009,12:00 AM,11
299,11/5/2009,12:00 AM,11
300,11/6/2009,12:00 AM,10
301,11/7/2009,12:00 AM,10
302,11/8/2009,12:00 AM,10
303,11/9/2009,12:00 AM,10
304,11/10/2009,12:00 AM,11
305,11/11/2009,12:00 AM,12
306,11/12/2009,12:00 AM,11
307,11/13/2009,12:00 AM,11
308,11/14/2009,12:00 AM,11
309,11/15/2009,12:00 AM,12
310,11/16/2009,12:00 AM,11
311,11/17/2009,12:00 AM,11
312,11/18/2009,12:00 AM,12
313,11/19/2009,12:00 AM,12
314,11/20/2009,12:00 AM,12
315,11/21/2009,12:00 AM,11
316,11/22/2009,12:00 AM,11
317,11/23/2009,12:00 AM,11
318,11/24/2009,12:00 AM,11
319,11/25/2009,12:00 AM,11
320,11/26/2009,12:00 AM,11
321,11/27/2009,12:00 AM,11
322,11/28/2009,12:00 AM,12
323,11/29/2009,12:00 AM,11
324,11/30/2009,12:00 AM,10
325,12/1/2009,12:00 AM,11
326,12/2/2009,12:00 AM,11
327,12/3/2009,12:00 AM,11
328,12/4/2009,12:00 AM,11
329,12/5/2009,12:00 AM,11
330,12/6/2009,12:00 AM,11
331,12/7/2009,12:00 AM,11
332,12/8/2009,12:00 AM,11
333,12/9/2009,12:00 AM,11
334,12/10/2009,12:00 AM,11
335,12/11/2009,12:00 AM,12
336,12/12/2009,12:00 AM,12
337,12/13/2009,12:00 AM,11
338,12/14/2009,12:00 AM,11
339,12/15/2009,12:00 AM,11
340,12/16/2009,12:00 AM,11
341,12/17/2009,12:00 AM,11
342,12/18/2009,12:00 AM,11
343,12/19/2009,12:00 AM,11
344,12/20/2009,12:00 AM,12
345,12/21/2009,12:00 AM,11
346,12/22/2009,12:00 AM,12
347,12/23/2009,12:00 AM,11
348,12/24/2009,12:00 AM,12
349,12/25/2009,12:00 AM,11
350,12/26/2009,12:00 AM,12
351,12/27/2009,12:00 AM,12
352,12/28/2009,12:00 AM,11
353,12/29/2009,12:00 AM,11
354,12/30/2009,12:00 AM,11
355,12/31/2009,12:00 AM,11
356,1/1/2010,12:00 AM,11
357,1/2/2010,12:00 AM,11
358,1/3/2010,12:00 AM,12
359,1/4/2010,12:00 AM,12
360,1/5/2010,12:00 AM,12
361,1/6/2010,12:00 AM,12
362,1/7/2010,12:00 AM,12
363,1/8/2010,12:00 AM,11
364,1/9/2010,12:00 AM,11
365,1/10/2010,12:00 AM,11
366,1/11/2010,12:00 AM,11
367,1/12/2010,12:00 AM,11
368,1/13/2010,12:00 AM,11
369,1/14/2010,12:00 AM,11
370,1/15/2010,12:00 AM,12
371,1/16/2010,12:00 AM,12
372,1/17/2010,12:00 AM,13
373,1/18/2010,12:00 AM,12
374,1/19/2010,12:00 AM,12
375,1/20/2010,12:00 AM,12
376,1/21/2010,12:00 AM,12
377,1/22/2010,12:00 AM,12
378,1/23/2010,12:00 AM,13
379,1/24/2010,12:00 AM,13
380,1/25/2010,12:00 AM,11
381,1/26/2010,12:00 AM,11
382,1/27/2010,12:00 AM,12
383,1/28/2010,12:00 AM,11
384,1/29/2010,12:00 AM,12
385,1/30/2010,12:00 AM,12
386,1/31/2010,12:00 AM,11
387,2/1/2010,12:00 AM,12
388,2/2/2010,12:00 AM,11
389,2/3/2010,12:00 AM,11
390,2/4/2010,12:00 AM,11
391,2/5/2010,12:00 AM,11
392,2/6/2010,12:00 AM,11
393,2/7/2010,12:00 AM,11
394,2/8/2010,12:00 AM,11
395,2/9/2010,12:00 AM,11
396,2/10/2010,12:00 AM,11
397,2/11/2010,12:00 AM,11
398,2/12/2010,12:00 AM,11
399,2/13/2010,12:00 AM,11
400,2/14/2010,12:00 AM,11
401,2/15/2010,12:00 AM,12
402,2/16/2010,12:00 AM,17
403,2/17/2010,12:00 AM,11
404,2/18/2010,12:00 AM,11
405,2/19/2010,12:00 AM,11
406,2/20/2010,12:00 AM,12
407,2/21/2010,12:00 AM,11
408,2/22/2010,12:00 AM,11
409,2/23/2010,12:00 AM,11
410,2/24/2010,12:00 AM,12
411,2/25/2010,12:00 AM,12
412,2/26/2010,12:00 AM,12
413,2/27/2010,12:00 AM,12
414,2/28/2010,12:00 AM,13
415,3/1/2010,12:00 AM,12
416,3/2/2010,12:00 AM,12
417,3/3/2010,12:00 AM,12
418,3/4/2010,12:00 AM,12
419,3/5/2010,12:00 AM,11
420,3/6/2010,12:00 AM,12
421,3/7/2010,12:00 AM,11
422,3/8/2010,12:00 AM,11
423,3/9/2010,12:00 AM,11
424,3/10/2010,12:00 AM,11
425,3/11/2010,12:00 AM,11
426,3/12/2010,12:00 AM,11
427,3/13/2010,12:00 AM,11
428,3/14/2010,12:00 AM,19
429,3/15/2010,12:00 AM,11
430,3/16/2010,12:00 AM,14
431,3/17/2010,12:00 AM,15
432,3/18/2010,12:00 AM,14
433,3/19/2010,12:00 AM,15
434,3/20/2010,12:00 AM,14
435,3/21/2010,12:00 AM,14
436,3/22/2010,12:00 AM,14
437,3/23/2010,12:00 AM,15
438,3/24/2010,12:00 AM,14
439,3/25/2010,12:00 AM,14
440,3/26/2010,12:00 AM,14
441,3/27/2010,12:00 AM,19
442,3/28/2010,12:00 AM,14
443,3/29/2010,12:00 AM,13
444,3/30/2010,12:00 AM,10
445,3/31/2010,12:00 AM,11
446,4/1/2010,12:00 AM,11
447,4/2/2010,12:00 AM,10
448,4/3/2010,12:00 AM,11
449,4/4/2010,12:00 AM,12
450,4/5/2010,12:00 AM,11
451,4/6/2010,12:00 AM,11
452,4/7/2010,12:00 AM,14
453,4/8/2010,12:00 AM,13
454,4/9/2010,12:00 AM,15
455,4/10/2010,12:00 AM,14
456,4/11/2010,12:00 AM,14
457,4/12/2010,12:00 AM,15
458,4/13/2010,12:00 AM,15
459,4/14/2010,12:00 AM,15
460,4/15/2010,12:00 AM,15
461,4/16/2010,12:00 AM,16
462,4/17/2010,12:00 AM,17
463,4/18/2010,12:00 AM,15
464,4/19/2010,12:00 AM,15
465,4/20/2010,12:00 AM,15
466,4/21/2010,12:00 AM,15
467,4/22/2010,12:00 AM,15
468,4/23/2010,12:00 AM,15
469,4/24/2010,12:00 AM,15
470,4/25/2010,12:00 AM,15
471,4/26/2010,12:00 AM,15
472,4/27/2010,12:00 AM,15
473,4/28/2010,12:00 AM,14
474,4/29/2010,12:00 AM,14
475,4/30/2010,12:00 AM,15
476,5/1/2010,12:00 AM,15
477,5/2/2010,12:00 AM,20
478,5/3/2010,12:00 AM,19
479,5/4/2010,12:00 AM,16
480,5/5/2010,12:00 AM,15
481,5/6/2010,12:00 AM,16
482,5/7/2010,12:00 AM,16
483,5/8/2010,12:00 AM,15
484,5/9/2010,12:00 AM,14
485,5/10/2010,12:00 AM,15
486,5/11/2010,12:00 AM,15
487,5/12/2010,12:00 AM,14
488,5/13/2010,12:00 AM,15
489,5/14/2010,12:00 AM,16
490,5/15/2010,12:00 AM,16
491,5/16/2010,12:00 AM,17
492,5/17/2010,12:00 AM,16
493,5/18/2010,12:00 AM,14
494,5/19/2010,12:00 AM,15
495,5/20/2010,12:00 AM,16
496,5/21/2010,12:00 AM,15
497,5/22/2010,12:00 AM,16
498,5/23/2010,12:00 AM,19
499,5/24/2010,12:00 AM,17
500,5/25/2010,12:00 AM,16
501,5/26/2010,12:00 AM,12
502,5/27/2010,12:00 AM,13
503,5/28/2010,12:00 AM,14
504,5/29/2010,12:00 AM,12
505,5/30/2010,12:00 AM,13
506,5/31/2010,12:00 AM,15
507,6/1/2010,12:00 AM,14
508,6/2/2010,12:00 AM,14
509,6/3/2010,12:00 AM,14
510,6/4/2010,12:00 AM,12
511,6/5/2010,12:00 AM,17
512,6/6/2010,12:00 AM,19
513,6/7/2010,12:00 AM,14
514,6/8/2010,12:00 AM,11
515,6/9/2010,12:00 AM,11
516,6/10/2010,12:00 AM,13
517,6/11/2010,12:00 AM,13
518,6/12/2010,12:00 AM,16
519,6/13/2010,12:00 AM,18
520,6/14/2010,12:00 AM,22
521,6/15/2010,12:00 AM,16
522,6/16/2010,12:00 AM,14
523,6/17/2010,12:00 AM,16
524,6/18/2010,12:00 AM,14
525,6/19/2010,12:00 AM,15
526,6/20/2010,12:00 AM,23
527,6/21/2010,12:00 AM,25
528,6/22/2010,12:00 AM,17
529,6/23/2010,12:00 AM,22
530,6/24/2010,12:00 AM,23
531,6/25/2010,12:00 AM,22
532,6/26/2010,12:00 AM,19
533,6/27/2010,12:00 AM,20
534,6/28/2010,12:00 AM,28
535,6/29/2010,12:00 AM,21
536,6/30/2010,12:00 AM,18
537,7/1/2010,12:00 AM,15
538,7/2/2010,12:00 AM,15
539,7/3/2010,12:00 AM,14
540,7/4/2010,12:00 AM,17
541,7/5/2010,12:00 AM,19
542,7/6/2010,12:00 AM,20
543,7/7/2010,12:00 AM,28
544,7/8/2010,12:00 AM,29
545,7/9/2010,12:00 AM,21
546,7/10/2010,12:00 AM,23
547,7/11/2010,12:00 AM,17
548,7/12/2010,12:00 AM,19
549,7/13/2010,12:00 AM,19
550,7/14/2010,12:00 AM,18
551,7/15/2010,12:00 AM,19
552,7/16/2010,12:00 AM,25
553,7/17/2010,12:00 AM,26
554,7/18/2010,12:00 AM,24
555,7/19/2010,12:00 AM,25
556,7/20/2010,12:00 AM,26
557,7/21/2010,12:00 AM,24
558,7/22/2010,12:00 AM,23
559,7/23/2010,12:00 AM,22
560,7/24/2010,12:00 AM,27
561,7/25/2010,12:00 AM,30
562,7/26/2010,12:00 AM,26
563,7/27/2010,12:00 AM,22
564,7/28/2010,12:00 AM,22
565,7/29/2010,12:00 AM,26
566,7/30/2010,12:00 AM,24
567,7/31/2010,12:00 AM,20
568,8/1/2010,12:00 AM,18
569,8/2/2010,12:00 AM,16
570,8/3/2010,12:00 AM,19
571,8/4/2010,12:00 AM,22
572,8/5/2010,12:00 AM,23
573,8/6/2010,12:00 AM,
574,8/7/2010,12:00 AM,18
575,8/8/2010,12:00 AM,21
576,8/9/2010,12:00 AM,22
577,8/10/2010,12:00 AM,25
578,Date,12:30 AM,12:30 AM
579,1/11/2009,12:30 AM,9
580,1/12/2009,12:30 AM,9
581,1/13/2009,12:30 AM,9
582,1/14/2009,12:30 AM,9
583,1/15/2009,12:30 AM,8
584,1/16/2009,12:30 AM,9
585,1/17/2009,12:30 AM,9
586,1/18/2009,12:30 AM,9
587,1/19/2009,12:30 AM,9
588,1/20/2009,12:30 AM,9
589,1/21/2009,12:30 AM,9
590,1/22/2009,12:30 AM,9
591,1/23/2009,12:30 AM,9
592,1/24/2009,12:30 AM,8
593,1/25/2009,12:30 AM,8
594,1/26/2009,12:30 AM,7
595,1/27/2009,12:30 AM,9
596,1/28/2009,12:30 AM,9
597,1/29/2009,12:30 AM,8
598,1/30/2009,12:30 AM,9
599,1/31/2009,12:30 AM,9
600,2/1/2009,12:30 AM,9
601,2/2/2009,12:30 AM,9
602,2/3/2009,12:30 AM,8
603,2/4/2009,12:30 AM,9
604,2/5/2009,12:30 AM,9
605,2/6/2009,12:30 AM,9
606,2/7/2009,12:30 AM,9
607,2/8/2009,12:30 AM,8
608,2/9/2009,12:30 AM,8
609,2/10/2009,12:30 AM,8
610,2/11/2009,12:30 AM,8
611,2/12/2009,12:30 AM,8
612,2/13/2009,12:30 AM,8
613,2/14/2009,12:30 AM,8
614,2/15/2009,12:30 AM,8
615,2/16/2009,12:30 AM,8
616,2/17/2009,12:30 AM,9
617,2/18/2009,12:30 AM,8
618,2/19/2009,12:30 AM,8
619,2/20/2009,12:30 AM,8
620,2/21/2009,12:30 AM,9
621,2/22/2009,12:30 AM,8
622,2/23/2009,12:30 AM,9
623,2/24/2009,12:30 AM,9
624,2/25/2009,12:30 AM,9
625,2/26/2009,12:30 AM,8
626,2/27/2009,12:30 AM,8
627,2/28/2009,12:30 AM,9
628,3/1/2009,12:30 AM,9
629,3/2/2009,12:30 AM,8
630,3/3/2009,12:30 AM,8
631,3/4/2009,12:30 AM,8
632,3/5/2009,12:30 AM,7
633,3/6/2009,12:30 AM,9
634,3/7/2009,12:30 AM,9
635,3/8/2009,12:30 AM,9
636,3/9/2009,12:30 AM,9
637,3/10/2009,12:30 AM,9
638,3/11/2009,12:30 AM,8
639,3/12/2009,12:30 AM,8
640,3/13/2009,12:30 AM,8
641,3/14/2009,12:30 AM,8
642,3/15/2009,12:30 AM,8
643,3/16/2009,12:30 AM,8
644,3/17/2009,12:30 AM,8
645,3/18/2009,12:30 AM,8
646,3/19/2009,12:30 AM,8
647,3/20/2009,12:30 AM,8
648,3/21/2009,12:30 AM,8
649,3/22/2009,12:30 AM,9
650,3/23/2009,12:30 AM,10
651,3/24/2009,12:30 AM,8
652,3/25/2009,12:30 AM,8
653,3/26/2009,12:30 AM,9
654,3/27/2009,12:30 AM,8
655,3/28/2009,12:30 AM,9
656,3/29/2009,12:30 AM,8
657,3/30/2009,12:30 AM,8
658,3/31/2009,12:30 AM,8
659,4/1/2009,12:30 AM,8
660,4/2/2009,12:30 AM,8
661,4/3/2009,12:30 AM,8
662,4/4/2009,12:30 AM,8
663,4/5/2009,12:30 AM,9
664,4/6/2009,12:30 AM,9
665,4/7/2009,12:30 AM,8
666,4/8/2009,12:30 AM,8
667,4/9/2009,12:30 AM,8
668,4/10/2009,12:30 AM,7
669,4/11/2009,12:30 AM,10
670,4/12/2009,12:30 AM,8
671,4/13/2009,12:30 AM,8
672,4/14/2009,12:30 AM,8
673,4/15/2009,12:30 AM,8
674,4/16/2009,12:30 AM,9
675,4/17/2009,12:30 AM,8
676,4/18/2009,12:30 AM,11
677,4/19/2009,12:30 AM,10
678,4/20/2009,12:30 AM,9
679,4/21/2009,12:30 AM,8
680,4/22/2009,12:30 AM,8
681,4/23/2009,12:30 AM,8
682,4/24/2009,12:30 AM,8
683,4/25/2009,12:30 AM,13
684,4/26/2009,12:30 AM,12
685,4/27/2009,12:30 AM,14
686,4/28/2009,12:30 AM,21
687,4/29/2009,12:30 AM,15
688,4/30/2009,12:30 AM,8
689,5/1/2009,12:30 AM,9
690,5/2/2009,12:30 AM,16
691,5/3/2009,12:30 AM,12
692,5/4/2009,12:30 AM,8
693,5/5/2009,12:30 AM,9
694,5/6/2009,12:30 AM,8
695,5/7/2009,12:30 AM,9
696,5/8/2009,12:30 AM,9
697,5/9/2009,12:30 AM,18
698,5/10/2009,12:30 AM,15
699,5/11/2009,12:30 AM,8
700,5/12/2009,12:30 AM,8
701,5/13/2009,12:30 AM,8
702,5/14/2009,12:30 AM,8
703,5/15/2009,12:30 AM,17
704,5/16/2009,12:30 AM,17
705,5/17/2009,12:30 AM,16
706,5/18/2009,12:30 AM,8
707,5/19/2009,12:30 AM,8
708,5/20/2009,12:30 AM,8
709,5/21/2009,12:30 AM,8
710,5/22/2009,12:30 AM,14
711,5/23/2009,12:30 AM,20
712,5/24/2009,12:30 AM,16
713,5/25/2009,12:30 AM,17
714,5/26/2009,12:30 AM,12
715,5/27/2009,12:30 AM,8
716,5/28/2009,12:30 AM,15
717,5/29/2009,12:30 AM,17
718,5/30/2009,12:30 AM,17
719,5/31/2009,12:30 AM,11
720,6/1/2009,12:30 AM,10
721,6/2/2009,12:30 AM,16
722,6/3/2009,12:30 AM,17
723,6/4/2009,12:30 AM,17
724,6/5/2009,12:30 AM,10
725,6/6/2009,12:30 AM,10
726,6/7/2009,12:30 AM,10
727,6/8/2009,12:30 AM,11
728,6/9/2009,12:30 AM,20
729,6/10/2009,12:30 AM,16
730,6/11/2009,12:30 AM,16
731,6/12/2009,12:30 AM,22
732,6/13/2009,12:30 AM,21
733,6/14/2009,12:30 AM,24
734,6/15/2009,12:30 AM,12
735,6/16/2009,12:30 AM,14
736,6/17/2009,12:30 AM,18
737,6/18/2009,12:30 AM,13
738,6/19/2009,12:30 AM,18
739,6/20/2009,12:30 AM,23
740,6/21/2009,12:30 AM,22
741,6/22/2009,12:30 AM,17
742,6/23/2009,12:30 AM,20
743,6/24/2009,12:30 AM,23
744,6/25/2009,12:30 AM,24
745,6/26/2009,12:30 AM,24
746,6/27/2009,12:30 AM,25
747,6/28/2009,12:30 AM,17
748,6/29/2009,12:30 AM,17
749,6/30/2009,12:30 AM,22
750,7/1/2009,12:30 AM,18
751,7/2/2009,12:30 AM,22
752,7/3/2009,12:30 AM,19
753,7/4/2009,12:30 AM,16
754,7/5/2009,12:30 AM,16
755,7/6/2009,12:30 AM,15
756,7/7/2009,12:30 AM,15
757,7/8/2009,12:30 AM,24
758,7/9/2009,12:30 AM,18
759,7/10/2009,12:30 AM,16
760,7/11/2009,12:30 AM,22
761,7/12/2009,12:30 AM,23
762,7/13/2009,12:30 AM,21
763,7/14/2009,12:30 AM,21
764,7/15/2009,12:30 AM,17
765,7/16/2009,12:30 AM,22
766,7/17/2009,12:30 AM,29
767,7/18/2009,12:30 AM,22
768,7/19/2009,12:30 AM,17
769,7/20/2009,12:30 AM,16
770,7/21/2009,12:30 AM,17
771,7/22/2009,12:30 AM,21
772,7/23/2009,12:30 AM,19
773,7/24/2009,12:30 AM,25
774,7/25/2009,12:30 AM,20
775,7/26/2009,12:30 AM,20
